elitismo,repeticiones,mejor_penalizacion,peor_penalizacion,penalizacion_promedio,desviacion_estandar_muestral,tiempo_promedio_segundos,generacion_promedio_mejor,soluciones_cero,validas_restricciones_duras
0,10,0,0,0,0.0,0.8054454900018755,15.9,10,10
2,10,0,0,0,0.0,0.7813997999990534,19.3,10,10
