tipo_mutacion,tasa_mutacion,repeticiones,mejor_distancia,peor_distancia,distancia_promedio,desviacion_estandar_muestral,tiempo_promedio_segundos,generacion_promedio_mejor
swap,0.05,10,329.31823027761055,329.31823027761055,329.31823027761055,0.0,5.5047480000001086,10.8
swap,0.2,10,329.31823027761055,329.31823027761055,329.31823027761055,0.0,5.570895440000095,10.6
inversion,0.05,10,329.31823027761055,329.31823027761055,329.31823027761055,0.0,5.5079567399992815,8.6
inversion,0.2,10,329.31823027761055,329.31823027761055,329.31823027761055,0.0,6.316245100000015,8.6
