generacion,distancia_generacion,mejor_distancia
0,394.1616062717335,394.1616062717335
1,390.1474052633848,390.1474052633848
2,390.1474052633848,390.1474052633848
3,382.793638026146,382.793638026146
4,376.23411835747555,376.23411835747555
5,346.2754293187293,346.2754293187293
6,346.2754293187293,346.2754293187293
7,346.2754293187293,346.2754293187293
8,346.2754293187293,346.2754293187293
9,335.21393869705463,335.21393869705463
10,335.21393869705463,335.21393869705463
11,335.21393869705463,335.21393869705463
12,329.31823027761055,329.31823027761055
13,329.31823027761055,329.31823027761055
14,329.31823027761055,329.31823027761055
15,329.31823027761055,329.31823027761055
16,329.31823027761055,329.31823027761055
17,329.31823027761055,329.31823027761055
18,329.31823027761055,329.31823027761055
19,329.31823027761055,329.31823027761055
20,329.31823027761055,329.31823027761055
21,329.31823027761055,329.31823027761055
22,329.31823027761055,329.31823027761055
23,329.31823027761055,329.31823027761055
24,329.31823027761055,329.31823027761055
25,329.31823027761055,329.31823027761055
26,329.31823027761055,329.31823027761055
27,329.31823027761055,329.31823027761055
28,329.31823027761055,329.31823027761055
29,329.31823027761055,329.31823027761055
30,329.31823027761055,329.31823027761055
31,329.31823027761055,329.31823027761055
32,329.31823027761055,329.31823027761055
33,329.31823027761055,329.31823027761055
34,329.31823027761055,329.31823027761055
35,329.31823027761055,329.31823027761055
36,329.31823027761055,329.31823027761055
37,329.31823027761055,329.31823027761055
38,329.31823027761055,329.31823027761055
39,329.31823027761055,329.31823027761055
40,329.31823027761055,329.31823027761055
41,329.31823027761055,329.31823027761055
42,329.31823027761055,329.31823027761055
43,329.31823027761055,329.31823027761055
44,329.31823027761055,329.31823027761055
45,329.31823027761055,329.31823027761055
46,329.31823027761055,329.31823027761055
47,329.31823027761055,329.31823027761055
48,329.31823027761055,329.31823027761055
49,329.31823027761055,329.31823027761055
50,329.31823027761055,329.31823027761055
51,329.31823027761055,329.31823027761055
52,329.31823027761055,329.31823027761055
53,329.31823027761055,329.31823027761055
54,329.31823027761055,329.31823027761055
55,329.31823027761055,329.31823027761055
56,329.31823027761055,329.31823027761055
57,329.31823027761055,329.31823027761055
58,329.31823027761055,329.31823027761055
59,329.31823027761055,329.31823027761055
60,329.31823027761055,329.31823027761055
61,329.31823027761055,329.31823027761055
62,329.31823027761055,329.31823027761055
63,329.31823027761055,329.31823027761055
64,329.31823027761055,329.31823027761055
65,329.31823027761055,329.31823027761055
66,329.31823027761055,329.31823027761055
67,329.31823027761055,329.31823027761055
68,329.31823027761055,329.31823027761055
69,329.31823027761055,329.31823027761055
70,329.31823027761055,329.31823027761055
71,329.31823027761055,329.31823027761055
72,329.31823027761055,329.31823027761055
73,329.31823027761055,329.31823027761055
74,329.31823027761055,329.31823027761055
75,329.31823027761055,329.31823027761055
76,329.31823027761055,329.31823027761055
77,329.31823027761055,329.31823027761055
78,329.31823027761055,329.31823027761055
79,329.31823027761055,329.31823027761055
80,329.31823027761055,329.31823027761055
81,329.31823027761055,329.31823027761055
82,329.31823027761055,329.31823027761055
83,329.31823027761055,329.31823027761055
84,329.31823027761055,329.31823027761055
85,329.31823027761055,329.31823027761055
86,329.31823027761055,329.31823027761055
87,329.31823027761055,329.31823027761055
88,329.31823027761055,329.31823027761055
89,329.31823027761055,329.31823027761055
90,329.31823027761055,329.31823027761055
91,329.31823027761055,329.31823027761055
92,329.31823027761055,329.31823027761055
93,329.31823027761055,329.31823027761055
94,329.31823027761055,329.31823027761055
95,329.31823027761055,329.31823027761055
96,329.31823027761055,329.31823027761055
97,329.31823027761055,329.31823027761055
98,329.31823027761055,329.31823027761055
99,329.31823027761055,329.31823027761055
100,329.31823027761055,329.31823027761055
101,329.31823027761055,329.31823027761055
102,329.31823027761055,329.31823027761055
103,329.31823027761055,329.31823027761055
104,329.31823027761055,329.31823027761055
105,329.31823027761055,329.31823027761055
106,329.31823027761055,329.31823027761055
107,329.31823027761055,329.31823027761055
108,329.31823027761055,329.31823027761055
109,329.31823027761055,329.31823027761055
110,329.31823027761055,329.31823027761055
111,329.31823027761055,329.31823027761055
112,329.31823027761055,329.31823027761055
113,329.31823027761055,329.31823027761055
114,329.31823027761055,329.31823027761055
115,329.31823027761055,329.31823027761055
116,329.31823027761055,329.31823027761055
117,329.31823027761055,329.31823027761055
118,329.31823027761055,329.31823027761055
119,329.31823027761055,329.31823027761055
120,329.31823027761055,329.31823027761055
121,329.31823027761055,329.31823027761055
122,329.31823027761055,329.31823027761055
123,329.31823027761055,329.31823027761055
124,329.31823027761055,329.31823027761055
125,329.31823027761055,329.31823027761055
126,329.31823027761055,329.31823027761055
127,329.31823027761055,329.31823027761055
128,329.31823027761055,329.31823027761055
129,329.31823027761055,329.31823027761055
130,329.31823027761055,329.31823027761055
131,329.31823027761055,329.31823027761055
132,329.31823027761055,329.31823027761055
133,329.31823027761055,329.31823027761055
134,329.31823027761055,329.31823027761055
135,329.31823027761055,329.31823027761055
136,329.31823027761055,329.31823027761055
137,329.31823027761055,329.31823027761055
138,329.31823027761055,329.31823027761055
139,329.31823027761055,329.31823027761055
140,329.31823027761055,329.31823027761055
141,329.31823027761055,329.31823027761055
142,329.31823027761055,329.31823027761055
143,329.31823027761055,329.31823027761055
144,329.31823027761055,329.31823027761055
145,329.31823027761055,329.31823027761055
146,329.31823027761055,329.31823027761055
147,329.31823027761055,329.31823027761055
148,329.31823027761055,329.31823027761055
149,329.31823027761055,329.31823027761055
150,329.31823027761055,329.31823027761055
151,329.31823027761055,329.31823027761055
152,329.31823027761055,329.31823027761055
153,329.31823027761055,329.31823027761055
154,329.31823027761055,329.31823027761055
155,329.31823027761055,329.31823027761055
156,329.31823027761055,329.31823027761055
157,329.31823027761055,329.31823027761055
158,329.31823027761055,329.31823027761055
159,329.31823027761055,329.31823027761055
160,329.31823027761055,329.31823027761055
161,329.31823027761055,329.31823027761055
162,329.31823027761055,329.31823027761055
163,329.31823027761055,329.31823027761055
164,329.31823027761055,329.31823027761055
165,329.31823027761055,329.31823027761055
166,329.31823027761055,329.31823027761055
167,329.31823027761055,329.31823027761055
168,329.31823027761055,329.31823027761055
169,329.31823027761055,329.31823027761055
170,329.31823027761055,329.31823027761055
171,329.31823027761055,329.31823027761055
172,329.31823027761055,329.31823027761055
173,329.31823027761055,329.31823027761055
174,329.31823027761055,329.31823027761055
175,329.31823027761055,329.31823027761055
176,329.31823027761055,329.31823027761055
177,329.31823027761055,329.31823027761055
178,329.31823027761055,329.31823027761055
179,329.31823027761055,329.31823027761055
